--- 
? !ruby/symbol en
: 
  АБАЙ: " ABAY "
  : " CURVE LAKE "
  ? "КРИВОЙ РОГ"
  : " Krivoy Rog "
  КРИНИЧКИ: " Krinichki "
  КРИУЛЯНЫ: " CRIULENI "
  КРИЧЕВ: " SHOUT "
  КРОМЫ: " EXCEPT "
  КРОПОТКИН: " Kropotkin "
  КРУГЛОЕ: " Round "
  КРУПКИ: " Krupki"
  КРУТИНКА: "KRUTINKA "
  КРУТИХА: " KRUTIHA "
  КРЫЖОПОЛЬ: " Krizhopil "
  КРЫЛОВСКАЯ: " Krylovskaya "
  КРЫМСК: " Crimean "
  КСТОВО: " Kstovo "
  КУБА: " Cuba "
  КУВА: " Kuva "
  КУВАНДЫК: " Kuvanduk "
  КУВАСАЙ: " Kuvasai "
  КУВШИНОВО: " Kuvshinova "
  КУГАЛЫ: " KUGALY "
  КУГЕСИ: " Kugesi "
  КУДЫМКАР: " Kudymkar "
  КУЕДА: " KUEDA "
  КУЖЕНЕР: " KUZHENER "
  КУЗЕМКИНО: " Kuzemkin "
  КУЗНЕЦК: " KUZNETSK "
  КУЗНЕЦОВСК: " Kuznetsovsk "
  КУЗОВАТОВО: " Kuzovatovo "
  КУЙБ844ЯЯ: " KUYB844YAYA "
  КУЙБЫШЕВ: " Kuibyshev "
  КУЙБЫШЕВ-КАЗАНЬ: " Kuibyshev, Kazan "
  КУЙБЫШЕВ-НОВОСБ: " Kuibyshev - NOVOSB "
  КУЙБЫШЕВО: " Kuybisheve"
  КУЙБЫШЕВСК: "SHAKHTARSKE "
  КУЙБЫШЕВСКИЙ: " SHAKHTARSKE "
  КУЙВОЗИ: " KUYVOZI "
  КУЙГАНЯР: " Kuyganyar "
  КУЛДИГА: " Kuldiga "
  КУЛЕБАКИ: " Kulebaki "
  КУЛИКОВКА: " Kulikovka "
  КУЛУНДА: " Kulunda "
  КУЛЯБ: " Kulyab "
  КУМЕНЫ: " KUMENY "
  КУМЕРТАУ: " Kumertau "
  КУМКУРГАН: " Kumkurgan "
  КУМЫЛЖЕНСКАЯ: " KUMYLZHENSKAYA "
  КУНАШАК: " KUNASHAK "
  КУНГРАД: " Kungrad "
  КУНГУР: " KUNGUR "
  КУНЬЯ: " Cunha "
  КУНЯ-УРГЕНЧ: " Old Urgench "
  КУПИНО: " Bush "
  КУПИШКИС: " Kupiskis "
  КУПЯНСК: " Kupiansk "
  КУРАГИНО: " Kuragin "
  КУРАХОВО: " Kurakhovo "
  КУРГАЛЬДЖИНСКИЙ: " Kurgaldzhinskoye "
  КУРГАН: " BARROW"
  КУРГАН-ТЮБЕ: "Kurgan-Tube "
  КУРГАНИНСК: " Kurganinsk "
  КУРГАНТЕПА: " Kurgantepa "
  КУРЕСААРЕ: " Kuressaare "
  КУРКИНО: " KURKINO "
  КУРСАВКА: " Kursavka "
  КУРСК: " Kursk "
  КУРТАМЫШ: " Kurtamysh "
  КУРУМКАН: " Kurumkan "
  КУРЧАТОВ: " KURCHATOV "
  КУРЧУМ: " Kurchum "
  КУРЫМКАР: " KURYMKAR "
  КУРЬЯ: " Kurya "
  КУСА: " Kusa "
  КУСАРЫ: " Kusari "
  КУСИНО: " Cousiño "
  КУСТАНАЙ: " Kustanai "
  КУТАИСИ: " KUTAISI "
  КУТУЗОВ: " KUTUZOV "
  КУШВА: " Kushva "
  КУШНАРЕНКОВО: " KUSHNARENKOVO "
  КУЩЕВСКАЯ: " Kushchevskaya "
  КШЕНСКИЙ: " KSHENSKY "
  КЫЗЫЛ: " KYZYL "
  КЫЗЫЛ-КИЯ: " Kyzyl-Kiya"
  КЫЗЫЛТЕПА: "Kızıltepe "
  КЫТМАНОВО: " KYTMANOVO "
  КЫШТОВКА: " KYSHTOVKA "
  КЫШТЫМ: " Kyshtym "
  КЯРДЛА: " Kärdla "
  КЯХТА: " Kjahta "
  ЛАБИНСК: " labinsk "
  ЛАГОДЕХИ: " Lagodekhi "
  ЛАДУШКИН: " Ladushkin "
  ЛАДЫЖИН: " Ladyzhin "
  ЛАЗАРЕВСКОЕ: " LAZAREVSKOE "
  ЛАЗДИЯЙ: " Lazdijai "
  ЛАЗО: " Lazo "
  ЛАЗОВСК: " Lazo "
  ЛАИШЕВО: " Laish "
  ЛАНОВЦЫ: " Lanovcy "
  ЛАНШ: " LANSH "
  ЛАХДЕНПОХЬЯ: " Lahdenpohja "
  ЛЕБЕДИН: " SWAN "
  ЛЕБЕДИНОВКА: " Lebedinovka "
  ЛЕБЕДЯНЬ: " Lebedyan "
  ЛЕБЯЖЬЕ-КИРОВ: " Swan-Kirov "
  ЛЕБЯЖЬЕ-КУРГАН: " Swan-Hill "
  ЛЕБЯЖЬЕ-ЛОМОНОС: " Swan-Lomonosov "
  ЛЕБЯЖЬЕ-ПАВЛОД.: " Swan-PAVLOD."
  ? "ЛЕВ ТОЛСТОЙ"
  : "Leo Tolstoy "
  ЛЕЖНЕВО: " Lezhneva "
  ЛЕЛЬЧИЦЫ: " Lelchitsy "
  ЛЕНГЕР: " Lengerich "
  ЛЕНИНАБАД: " Leninabad "
  ЛЕНИНАКАН: " Leninakan "
  ЛЕНИНГРАД: " LENINGRAD "
  ЛЕНИНГРАДСКАЯ: " St. Petersburg "
  ЛЕНИНГРАДСКИЙ: " St. Petersburg "
  ЛЕНИНОГОРСК: " Leninogorsk "
  ЛЕНИНОПОЛЬ: " LENINOPOL "
  ЛЕНИНСК-АНДИЖАН: " Leninsk-Andijan "
  ЛЕНИНСК-ВОЛГОГР: " Leninsk-VOLGOGR "
  ЛЕНИНСК-КЗ-ОРДА: " Leninsk-BB-Orda "
  ЛЕНИНСК-КУЗНЕЦК: " Leninsk-Kuznetsk "
  ЛЕНИНСК-ТАШАУЗ: " Leninsk-Dashuz "
  ЛЕНИНСКИЙ-ДУШАН: " LENINSKIY-Soul "
  ЛЕНИНСКИЙ-КОКЧТ: " LENINSKIY -KOKCHT "
  ЛЕНИНСКИЙ-ТУЛА: " LENINSKIY-Tula "
  ЛЕНИНСКОЕ-КУСТ.: " Leninsk-BUSH. "
  ЛЕНИНСКОЕ-ХАБАР: " Leninsk-Khabar "
  ЛЕНКОРАНЬ: " LANKARAN "
  ЛЕНСК: " Lensk "
  ЛЕОВО: " LEOVA "
  ЛЕПЕЛЬ: " Lepel"
  ЛЕПСАРЫ: "LEPSARY "
  ЛЕПСЫ: " LEPSE "
  ЛЕРМОНТОВ: " LERMONTOV "
  ЛЕСНОЕ: " FORESTRY "
  ЛЕСНОС: " LESNOS "
  ЛЕСОГОРСКИЙ: " LESOGORSKY "
  ЛЕСОЗАВОД: " Sawmill "
  ЛЕСОЗАВОДСК: " Lesozavodsk "
  ЛЕСОКОМБИНАТ: " lesokombinat "
  ЛЕСОСИБИРСК: " Lesosibirsk "
  ЛЕТИЧЕВ: " Letichiv "
  ЛИВНЫ: " LIVNI "
  ЛИВОЗЕРОВО: " LIVOZEROVO "
  ЛИДА: " LIDA "
  ЛИЕПАЯ: " RIGA "
  ЛИМАН: " Lima "
  ЛИМБАЖИ: " Limbazhi "
  ЛИОЗНО: " Lioznov "
  ЛИПЕЦК: " LIPETSK "
  ? "ЛИПИН БОР"
  : " Lipin BOR "
  ? "ЛИПКАЯ ГОРКА"
  : " STICKY HILL "
  ЛИПКИ: " STICKY "
  ? "ЛИПОВАЯ ДОЛИНА"
  : " Lime VALLEY "
  ЛИПОВЕЦ: " Lipovec "
  ЛИСАКОВСК: " Lisakovsk"
  ЛИСИНО-КОРПУС: "LISINO-HULL "
  ЛИСИЧАНСК: " Lisichansk "
  ЛИТИН: " Litin "
  ЛИХОСЛАВЛЬ: " Likhoslavl "
  ЛОГОЙСК: " Logoysk "
  ? "ЛОДЕЙНОЕ ПОЛЕ"
  : " Listvianka "
  ЛОЕВ: " Loew "
  ЛОЗОВАЯ: " LOZOVAYA "
  ЛОКАЧИ: " Lokachi "
  ЛОКНЯ: " fiber "
  ЛОКОТЬ: " ELBOW "
  ЛОМОНОСОВ: " Lomonosov "
  ЛОПАТИНО: " LOPATIN "
  ЛОПУХИНКА: " Lopukhinka "
  ЛОТОШИНО: " Lotoshino "
  ? "ЛОУХИ КАЛЕВАЛА"
  : " Louhi KALEVALA "
  ЛОХВИЦА: " Lokhvitsya "
  ЛУБНЫ: " Lubni "
  ЛУГА: " MEADOWS "
  ЛУГАНСК: " Lugansk "
  ЛУГИНЫ: " Lugini "
  ЛУГОВОЕ: " MEADOW "
  ЛУДЗА: " Ludza "
  ЛУНИНЕЦ: " LUNINETS "
  ЛУНИНО: " Lunin"
  ЛУТУГИНО: "Lutugino "
  ЛУХОВИЦЫ: " Lukhovitsy "
  ЛУЦК: " Lutsk "
  ЛУЧЕГОРСК: " Luchegorsk "
  ЛЫСКОВО: " Łyskava "
  ? "ЛЫСЫЕ ГОРЫ"
  : " Bald Hills "
  ЛЫСЬВА: " Lys&#39;va "
  ЛЫСЯНКА: " Lysyanka "
  ЛЬВОВ: " Lviv "
  ЛЬГОВ: " Lgov "
  ЛЮБАНЬ-МИНСК: " Luban, Minsk "
  ЛЮБАНЬ-ТОСНО: " Luban-Tosno "
  ЛЮБАР: " Lyubar "
  ЛЮБАШЕВКА: " Lyubashevka "
  ЛЮБЕШОВ: " Lyubeshev "
  ЛЮБИНСКИЙ: " Lyubinskaya "
  ЛЮБОМЛЬ: " Lyuboml "
  ЛЮБЫТИНО: " LYUBYTINO "
  ЛЮДИНОВО: " Lyudinovo "
  ЛЯМБИРЬ: " LYAMBIR "
  ЛЯХОВИЧИ: " LYAKHOVICH "
  МАГАДАН: " MAGADAN "
  МАГАН: " MAGICIAN "
  МАГДАГАЧИ: " Magdagachi "
  МАГДАЛИНОВКА: " Magdalinivka"
  МАГНИТОГОРСК: "MAGNITOGORSK "
  МАДОНА: " MADONNA "
  МАЖЕЙКЯЙ: " Mazeikiai "
  МАЙКАИН: " MAYKAIN "
  МАЙКОП: " MAYKOP "
  МАЙЛИСАЙ: " MAYLISAY "
  МАЙМА: " MAYMA "
  МАЙНА: " MAIN "
  МАЙСКОЕ: " MAYSKIY "
  МАЙЯ: " MAYA "
  МАКАНЧИ: " Makanchi "
  МАКАРОВ: " Makarov "
  МАКАРЬЕВ: " Makarov "
  МАКЕЕВКА: " MAKIYIVKA "
  МАКИНСК: " Makinsk "
  МАКСАТИХА: " Maksatiha "
  МАКСИМОВКА: " Maksimovka "
  МАКУШИНО: " Makushin "
  ? "МАЛАЯ ВИШЕРА"
  : " Malaya Vishera "
  ? "МАЛАЯ ПУРГА"
  : " SMALL SCP "
  ? "МАЛАЯ СЕРДОБА"
  : " SMALL SERDOBA "
  МАЛГОБЕК: " Malgobek "
  МАЛИН: " MALIN "
  МАЛМЫЖ: " Malmyz "
  МАЛОАРХАНГЕЛЬСК: " Maloarkhangelsk"
  МАЛОРИТА: "Malaryta "
  МАЛОЯРОСЛАВЕЦ: " Maloyaroslavetz "
  МАМАДЫШ: " Mamadysh "
  МАМЛЮТКА: " Mamlyutka "
  МАМОНОВО: " Mamonovo "
  МАМОНТОВО: " Mamontov "
  МАНГИТ: " Manga "
  МАНЕВИЧИ: " Manevichi "
  МАНТУРОВО: " Manturova "
  МАНЬКОВКА: " Mankovka "
  МАРАЛИК: " Maralik "
  МАРГАНЕЦ: " Manganese "
  МАРГИЛАН: " Margilan "
  МАРГУШИ: " Margush "
  МАРИ-ТУРЕК: " Maries TUREK "
  МАРИИНСК: " MARIININSKY "
  ? "МАРИЙСКИЙ ПОСАД"
  : " MARI Posad "
  МАРИНОВКА: " Marinivka "
  МАРИУПОЛЬ: " Mariupol "
  МАРИЯМПОЛЕ: " Marijampole "
  МАРКОВКА: " Markovka "
  МАРКС: " MARKS "
  МАРНЕУЛИ: " Marneuli "
  МАРТУК: " MARTUK "
  МАРТУНИ: " MARTUNI"
  МАРХАМАТ: "Markhamat "
  МАРЫ: " MARY "
  ? "МАРЬИНА ГОРКА"
  : " Maryina HILL "
  МАРЬИНКА: " Marinka "
  МАРЬЯНОВКА: " Marianivka "
  МАСИС: " MASIS "
  МАСЛЯНИНО: " MASLYANINO "
  МАССАЛЫ: " Masalis "
  ? "МАТВЕЕВ КУРГАН"
  : " Matveev Kurgan "
  МАХАЧКАЛА: " MAKHACHKALA "
  МАШЕВКА: " Mashivka "
  МГЛИН: " Mglin "
  МЕДВЕЖЬЕГОРСК: " Medvezhyegorsk "
  МЕДВЕНКА: " MEDVENKA "
  МЕДНОГОРСК: " Mednogorsk "
  МЕДЫНЬ: " Medyn "
  МЕЖГОРЬЕ: " Mezhgore "
  МЕЖДУРЕЧЕНСК: " Mezhdurechensk "
  МЕЖЕВАЯ: " Megeve "
  МЕЛЕНКИ: " Melenki "
  МЕЛЕУЗ: " Meleuz "
  МЕЛИТОПОЛЬ: " Melitopol "
  МЕЛОВОЕ: " CRETACEOUS "
  МЕЛЬНИК-ПРИОЗЕР: " Melnik - Lakeshire "
  ? "МЕЛЬНИКОВО ТОМ"
  : " MELNIKOVA VOLUME"
  МЕНА: "MENA "
  МЕНДЕЛЕЕВСК: " Mendeleevsk "
  МЕНЗЕЛИНСК: " Menzelinsk "
  МЕРКЕ: " MERCK "
  МЕРНОГОРСК: " MERNOGORSK "
  МЕСЯГУТОВО: " MESYAGUTOVO "
  МЕЩОВСК: " Meshchovsk "
  МИАСКОЕ: " MIASKOE "
  МИАСС-УРАЛАВТОЗ: " MIASS-URALAVTOZ "
  МИАСС-ЧЕЛЯБИНСК: " MIASS-Chelyabinsk "
  МИАССКОЕ: " MIASS "
  МИГИРИН: " MIGIRIN "
  МИЛЛЕРОВО: " Millerovo "
  МИЛЬКОВО: " Milkovo "
  МИЛЮТИНСКАЯ: " Milyutinskij "
  МИНВОДЫ: " MinVody "
  МИНГЕЧАУР: " Mingechaur "
  МИНСК: " Minsk "
  МИНУСИНСК: " Minusinsk "
  МИОРЫ: " IIED "
  МИРГОРОД: " MIRGOROD "
  МИРНЫЙ: " PEACE "
  МИРОНОВКА: " Mironovka "
  МИХАЙЛОВ: " Mikhailov "
  МИХАЙЛОВКА: " Mikhajlovka"
  МИЧУРИНСК: "MICHURIN "
  МИШКИНО: " Mishkin "
  МЛИНОВ: " MLÝN "
  МОГИЛЕВ: " Mogilev "
  ? "МОГИЛЕВСК ПОД"
  : " Mogilev UNDER "
  МОЖАЙСК: " Mojaisk "
  МОЖГА: " Mozhga "
  МОЗДОК: " Mozdok "
  МОЗЫРЬ: " Mozyr "
  МОКРОУС: " Mokrousov "
  МОКРОУСОВО: " Mokrousov "
  МОКШАН: " Mokshan "
  МОЛЕТАЙ: " Moletai "
  МОЛОДЕЖНОЕ: " Youth "
  МОЛОДЕЧНО: " MOLODECHNO "
  МОЛЧАНОВО: " MOLCHANOVA "
  МОНАСТЫРИСКА: " Monasturisk "
  МОНАСТЫРИЩЕ: " Monastyrische "
  МОНАСТЫРЩИНА: " Monastyrshchina "
  МОНЧЕГОРСК: " Monchegorsk "
  МОРГАУШИ: " Morgaushi "
  МОРДОВО: " MORDOVIA "
  МОРКИ: " DIMA "
  МОРОЗОВСК: " Morozovsk "
  МОРШАНСК: " Morshansk"
  МОСАЛЬСК: "Mosalskiy "
  МОСКАЛЕНКИ: " MOSKALENKO "
  МОСКВА: " MOSCOW "
  МОСКОВСКИЙ: " MOSCOW "
  МОСТИСКА: " Mostiska "
  МОСТОВСКОЕ: " Masty "
  МОСТЫ: " Bridges "
  МОШЕНСКОЕ: " Moshensky "
  МОШКОВО: " Moshkova "
  МРАКОВО: " MRAKOVO "
  МСТИСЛАВЛЬ: " Amścisłaŭ "
  МУБАРЕК: " Mubarek "
  МУЕЗЕРСКИЙ: " Muezersky "
  МУКАЧЕВО: " MUKACHEVO "
  МУРМАНСК: " Murmansk "
  МУРМАНСК-130: " Murmansk-130 "
  ? "МУРОВ КУРИЛОВЦЫ"
  : " Murov Kurilovcy "
  МУРОМ: " Murom "
  МУРОМЦЕВО: " Muromtseva "
  МУСЛЮМОВО: " Muslyumovo "
  МУХОРШИБИРЬ: " MUHORSHIBIR "
  МУЧКАПСКИЙ: " MUCHKAPSKY "
  МЦЕНСК: " Mtsensk "
  МЫСКИ: " Myski "
  МЯДЕЛЬ: " Ãiadel"
  Н-АКМЯНЕ: "H Akmene "
  Н-АЛТАЙСК: " H ALTAISK "
  Н-ИНГАШ: " H INGASH "
  Н-НИКОЛАЕВКА: " H Nikolaevka "
  Н-ШУЛЬБА: " H Shulba "
  ? "НАБЕРЕЖ ЧЕЛНЫ"
  : " embankments CHELNY "
  НАВАШИНО: " NAVASHINO "
  НАВЛЯ: " Navlya "
  НАВОИ: " NAVOI "
  НАДВОРНАЯ: " Nadvornaya "
  НАДТЕРЕЧНАЯ: " Nadterechny "
  НАДЫМ: " NADYM "
  НАЗАРОВО: " NAZAROVA "
  НАЗРАНЬ: " Nazran "
  НАЗЫВАЕВСК: " Nazyvaevsk "
  НАЛЬЧИК: " NALCHIK "
  НАМАНГАН: " Namangan "
  НАМЦЫ: " Namtso "
  НАРВА: " NARVA "
  НАРИМАНОВ: " Narimanov "
  НАРИМАНОВКА: " NARIMANOVKA "
  НАРИМАНОВО: " Narimanov "
  НАРО-ФОМИНСК: " Narofominsk "
  НАРОВЛЯ: " Narovlia "
  НАРОВЧАТ: " Narovchatov"
  НАРОДИЧИ: "Narodichi "
  НАРОЧЬ: " VECTOR "
  НАРТКАЛА: " Nartkala "
  НАРЫН: " NARYN "
  НАРЫНКА: " NARYNKA "
  НАРЫШКИНО: " NARYSHKIN "
  НАУРСКИЙ: " Naurskaya "
  НАФТАЛАН: " NAFTALAN "
  НАХИЧЕВАНЬ: " Nakhchivan "
  НАХОДКА: " FIND "
  НАЧАЛОВО: " Nachalova "
  НЕБИТ-ДАГ: " Nebit DAG "
  НЕВЕЛЬ: " Nevel "
  НЕВЕЛЬСК: " Nevelsk "
  НЕВЕРКИНО: " NEVERKINO "
  НЕВИННОМЫССК: " Nevinnomysk "
  НЕВЬЯНСК: " Nev&#39;jansk "
  НЕДРИГАЙЛОВО: " NEDRIGAYLOVO "
  НЕЖИН: " Nizhin "
  НЕКРАСОВСКОЕ: " Nekrasovskij "
  НЕЛИДОВО: " Nelidovo "
  НЕМА: " HEMA "
  НЕМАН: " NEMAN "
  НЕМИРОВ: " Nemirov "
  НЕРЕХТА: " Nerekhta"
  НЕРЧИНСК: "Nerchinsk "
  НЕРЮНГРИ: " Nerungri "
  НЕСВИЖ: " Shults "
  НЕСТЕРОВ: " NESTEROV "
  НЕФТЕГОРСК: " Neftegorsk "
  НЕФТЕКАМСК: " Neftekamsk "
  НЕФТЕКУМСК: " Neftekumsk "
  НЕФТЕЧАЛА: " Neftchala "
  НЕФТЕЮГАНСК: " Nefteyugansk "
  НЕХАЕВСКИЙ: " NEHAEVSKY "
  НИБРАЙ: " NIBRAY "
  НИДА: " NIDA "
  ? "НИЖНАЯ ОМКА"
  : " Lower OMKA "
  НИЖНЕВАРТОВСК: " Nizhnevartovsk "
  НИЖНЕГОРСКИЙ: " Nizhnogirskiy "
  НИЖНЕДЕВИЦК: " NIZHNEDEVITSK "
  НИЖНЕКАМСК: " Nizhnekamsk "
  ? "НИЖНИЕ СЕРЕГОЗЫ"
  : " Lower SEREGOZY "
  ? "НИЖНИЙ ЛОМОВ"
  : " Nizhniy Lomov "
  ? "НИЖНИЙ СЕРГИ"
  : " Lower SERGO "
  ? "НИЖНИЙ ТАГИЛ"
  : " Nizhniy Tagil "
  ? "НИЖНИЙ ТУРА"
  : " Lower TOUR "
  ? "НИЖНЯЯ ТАВДА"
  : " Lower Tavda "
  НИЗИНО: " Lowland "
  НИКИТИНКА: " NIKITINKA"
  НИКОЛАЕВ: "Nikolaev "
  НИКОЛАЕВ-ЛЬВОВ: " Mykolaiv, Lviv "
  НИКОЛАЕВКА: " Nikolaevka "
  НИКОЛАЕВСК: " MYKOLAYIV "
  НИКОЛАЕВСК-АМУР: " Nikolaevsk-AMUR "
  НИКОЛАЕВЩИНА: " Mykolayiv "
  НИКОЛЬСК-ВОЛОГД: " Nicolskoye-Vologda "
  НИКОЛЬСК-ПЕНЗА: " CHURCH-Penza "
  НИКОЛЬСКИЙ: " CHURCH "
  НИКОЛЬСКОЕ: " CHURCH "
  НИКОПОЛЬ: " NIKOPOL "
  НИСПОРЕНЫ: " NISPORENI "
  НОВАННИНСКИЙ: " NOVANNINSKY "
  ? "НОВАЯ ВОДОЛАГА"
  : " NEW Vodolaga "
  ? "НОВАЯ КАХОВКА"
  : " New Kahovka "
  ? "НОВАЯ ЛАДОГА"
  : " NEW LADOGA "
  ? "НОВАЯ МАЛЫКЛА"
  : " NEW Malykla "
  ? "НОВАЯ ОДЕССА"
  : " New Odessa "
  ? "НОВАЯ УСМАНЬ"
  : " NEW Usmanov "
  ? "НОВАЯ УШИЦА"
  : " NEW Ushitsya "
  НОВГОРОД: " Novgorod "
  НОВГОРОД-СЕВЕРС: " Novgorod-SEVERS "
  НОВГОРОДКА: " Novgorodka "
  НОВГОРОДСКОЕ: " NOVGOROD "
  НОВИНКА: " NEW"
  НОВИЧИХА: "NOVICHIHA "
  НОВО-АЛЕКСАНДР: " NOVO-ALEXANDER "
  НОВО-ВОРОНЕЖСК: " Novo-Voronezh "
  НОВОАЗОВСК: " Novoazovsk "
  НОВОАЙДАР: " Novoaydar "
  НОВОАЛЕКСАНДРОВ: " NOVOALEKSANDROV "
  НОВОАЛЕКСЕЕВКА: " Novooleksiyivka "
  НОВОАЛТАЙСК: " Novoaltaysk "
  НОВОАРХАНГЕЛЬСК: " Novoarhangelsk "
  НОВОБИРИЛЮССЫ: " NOVOBIRILYUSSY "
  НОВОВАРШАВКА: " NOVOVARSHAVKA "
  НОВОВОЛЫНСК: " Novovolinsk "
  НОВОВОРОНЦОВКА: " Novovoroncovka "
  НОВОВЯТСК-КИРОВ: " NOVOVYATSK-Kirov "
  НОВОГРАД-ВОЛЫНС: " Novograd-VOLYNS "
  НОВОГРУДОК: " Navahradak "
  НОВОДУГИНО: " Novodugino "
  НОВОЕГОРЬЕВСКОЕ: " NOVOEGOREVSKOE "
  НОВОЗЫБКОВ: " Novozybkov "
  НОВОКИЕВ-УВАЛ: " Novokom-Uval "
  НОВОКУБАНСК: " Novokubansk "
  НОВОКУЗНЕЦК: " Novokuznetsk "
  НОВОКУЙБЫШЕВСК: " Novokujbyshevsk "
  НОВОЛИСИНО: " Novolisino "
  НОВОМИРГОРОД: " Novomirgorod"
  НОВОМОСКОВСК: "Novomoskovsk "
  НОВОНИКОЛАЕВКА: " Novonikolaevka "
  НОВОНИКОЛАЕВСКИ: " Novonikolayevsk "
  НОВОПАВЛОВСК: " Novopavlovsky "
  НОВОПОКРОВКА: " Novopokrovka "
  НОВОПОКРОВСКАЯ: " Novopokrovsky "
  НОВОПОЛОЦК: " NOVOPOLOTSK "
  НОВОПСКОВ: " Novopskov "
  НОВОРЖЕВ: " Novorzhev "
  НОВОРОССИЙСК: " Novorossiysk "
  НОВОСЕЛИЦА: " Novoselitsya "
  НОВОСЕЛИЦКОЕ: " NOVOSELITSKOE "
  НОВОСЕЛОВО: " NOVOSELOVA "
  НОВОСЕРГИЕВКА: " Novosergievka "
  НОВОСИБИРСК: " Novosibirsk "
  НОВОСИЛЬ: " Novosil "
  НОВОСОКОЛЬНИКИ: " Novosokolniki "
  НОВОСПАССКОЕ: " Novospasskij "
  НОВОТРОИЦК: " Novotroick "
  НОВОТРОИЦКОЕ: " Novotroickoe "
  НОВОУЗЕНСК: " Novouzensk "
  НОВОУКРАИНКА: " Novoukrayinka "
  НОВОХОПЕРСК: " Novokhopersk "
  НОВОЧЕРКАССК: " NOVOCHERKASSK "
  НОВОШАХТИНСК: " Novoshakhtinsk"
  НОВОЯКЕНТ: "NOVOYAKENT "
  ? "НОВЫЕ АНЕНЫ"
  : " OTACI "
  ? "НОВЫЕ БУРАСЫ"
  : " NEW Buras "
  ? "НОВЫЕ САНЖАРЫ"
  : " NEW Sanjar "
  ? "НОВЫЙ БУЧ"
  : " NEW Buch "
  ? "НОВЫЙ ОСКОЛ"
  : " Bangalore "
  ? "НОВЫЙ РАЗДОЛ"
  : " NEW Razdol "
  ? "НОВЫЙ ТОРЬЯЛ"
  : " NEW TORYAL "
  ? "НОВЫЙ УРЕНГОЙ"
  : " NEW URENGOY "
  НОГИНСК: " Noginsk "
  НОГЛИКИ: " NOGLIKI "
  НОЕМБЕРЯН: " Noyemberyan "
  НОЖАЙ-ЮРТ: " Nozhai-Yurt "
  НОЛИНСК: " Nolinsk "
  НОСОВКА: " Nosovka "
  НОЯБРЬСК: " NOVEMBER "
  НУКУС: " Nukus "
  НУРАТА: " Nurata "
  НУРЕК3: " NUREK3 "
  НУРЛАТ: " Nurlat "
  НУРМА: " Nurmi, "
  НЫТВА: " Nytva, "
  НЮКСЕНИЦА: " Niuksenitsa "
  НЮРБА: " Nyurba "
  НЯЗЕПЕТРОВСК: " Nyazepetrovsk"
  НЯНДОМА: "Niandoma "
  ОБИКИИК: " OBIKIIK "
  ОБЛУЧЬЕ: " Obluche "
  ОБНИНСК: " Obninsk "
  ОБОЯНЬ: " Oboyan "
  ОБУХОВ: " OBUKHOV "
  ОБЬЯЧЕВО: " OBYACHEVO "
  ОВИДИОПОЛЬ: " Ovidiopol "
  ОВРУЧ: " Ovruch "
  ОГРЕ: " OGRE "
  ОДЕССА: " Odessa "
  ОДЕССКОЕ: " Odessa "
  ОДОЕВ: " ODOEV "
  ОЗЕРСК: " Ozersk "
  ОЗЕРЫ: " Lakes "
  ОЗИНКИ: " Ozinki "
  ОКНИЦА: " OCNITA "
  ОКОНЕШНИКОВО: " Okoneshnikova "
  ОКТЕМБЕРЯН: " Hoktemberyan "
  ОКТЯБР-ВОЛГОГР: " October-VOLGOGR "
  ОКТЯБРЬСК-АКТЮБ: " Oct-Aktjuba "
  ОКТЯБРЬСК-ГОМ: " Oct-GOM "
  ОКТЯБРЬСК-КУЙБ: " Oct-KUYB "
  ОКТЯБРЬСК-ПЕРМЬ: " Oct-PERM "
  ОКТЯБРЬСК-ТАШАУ: " Oct-Tasha"
  ОКТЯБРЬСКИЙ: "OCTOBER "
  ОКТЯБРЬСКОЕ-ОРД: " Oct-DDS "
  ОКТЯБРЬСКОЕ-ТЮМ: " Oct-Tumen "
  ОКТЯБРЬСКОЕ-ЧЕЛ: " Oct-PERS "
  ОКУЛОВКА: " Okulovka "
  ОЛЕВСК: " Olevsk "
  ОЛЕКМИНСК: " OLYEKMINSKY "
  ОЛЕНЕГОРСК: " Olenegorsk "
  ОЛЕНИНО: " Olenin "
  ОЛЕНОВКА: " OLENOVKA "
  ОЛОНЕЦ: " Olonec "
  ОЛЬГА: " OLGA "
  ОЛЬХОВАТКА: " Olkhovatka "
  ОЛЬХОВКА: " Olkhovka "
  ОЛЬШАНКА: " Olshanka "
  ОМСК: " DHBs "
  ОМСУКЧАН: " Omsukchana "
  ОМУТИНСКИЙ: " OMUTINSKY "
  ОМУТНИНСК: " Omutninsk "
  ОНГУДАЙ: " Ongudaj "
  ОНЕГА: " ONEGA "
  ОНУФРИЕВКА: " Onufriyivka "
  ОПОЧКА: " Opochka "
  ОРАТОВ: " Orativ "
  ОРГЕЕВ: " vechi"
  ОРДА: "ORDA "
  ОРДЖОНИКИДЗЕ: " ORDZHONIKIDZE "
  ОРДЖОНИКИДЗЕВСК: " Ordzhonikidzevsky "
  ОРДЫНСК: " Orda "
  ОРЕЛ: " EAGLE "
  ОРЕНБУРГ: " Orenburg "
  ОРЕХОВ: " Nuts "
  ОРЕХОВО-ЗУЕВО: " OREKHOVO-ZUEVO "
  ОРЖИЦА: " Orzhica "
  ОРИЧИ: " Oric "
  ОРЛОВСКИЙ: " Oryol "
